,location,location_detail,price
서울특별시,성북구,길음동,2469
서울특별시,성북구,종암동,2080
서울특별시,성북구,하월곡동,2377
서울특별시,성북구,상월곡동,2200
서울특별시,성북구,장위동,2466
서울특별시,성북구,석관동,2153
서울특별시,강북구,미아동,1866
서울특별시,강북구,번동,1693
서울특별시,강북구,수유동,1579
서울특별시,강북구,우이동,1484
서울특별시,도봉구,쌍문동,1547
서울특별시,도봉구,방학동,1767
서울특별시,도봉구,창동,1812
서울특별시,도봉구,도봉동,1827
서울특별시,노원구,월계동,1719
서울특별시,노원구,공릉동,1803
서울특별시,노원구,하계동,1672
서울특별시,노원구,상계동,1997
서울특별시,노원구,중계동,1708
서울특별시,은평구,수색동,2260
서울특별시,은평구,녹번동,1923
서울특별시,은평구,불광동,1949
서울특별시,은평구,갈현동,1859
서울특별시,은평구,구산동,1870
서울특별시,은평구,대조동,2258
서울특별시,은평구,응암동,1992
서울특별시,은평구,역촌동,2034
서울특별시,은평구,신사동,1868
서울특별시,은평구,증산동,2354
서울특별시,은평구,진관내동,1958
서울특별시,은평구,구파발동,0
서울특별시,은평구,진관외동,0
서울특별시,서대문구,충정로2가,3216
서울특별시,서대문구,충정로3가,2557
서울특별시,서대문구,합동,2730
서울특별시,서대문구,미근동,2927
서울특별시,서대문구,냉천동,3133
서울특별시,서대문구,천연동,2545
서울특별시,서대문구,옥천동,2706
서울특별시,서대문구,영천동,2718
서울특별시,서대문구,현저동,1710
서울특별시,서대문구,북아현동,2509
서울특별시,서대문구,홍제동,2103
서울특별시,서대문구,대현동,3076
서울특별시,서대문구,대신동,2622
서울특별시,서대문구,신촌동,2013
서울특별시,서대문구,봉원동,1655
서울특별시,서대문구,창천동,2556
서울특별시,서대문구,연희동,1921
서울특별시,서대문구,홍은동,1721
서울특별시,서대문구,북가좌동,2098
서울특별시,서대문구,남가좌동,2138
서울특별시,마포구,아현동,3141
서울특별시,마포구,공덕동,2718
서울특별시,마포구,신공덕동,2378
서울특별시,마포구,도화동,2679
서울특별시,마포구,용강동,2442
서울특별시,마포구,토정동,2770
서울특별시,마포구,마포동,2799
서울특별시,마포구,대흥동,2653
